Address,Count
Punak,161
Pardis,146
West Ferdows Boulevard,145
Gheitarieh,141
Shahran,130
Saadat Abad,129
Parand,127
Shahr-e-Ziba,109
Southern Janatabad,93
Central Janatabad,91
Jeyhoon,91
Persian Gulf Martyrs Lake,88
Andisheh,83
Ostad Moein,83
East Ferdows Boulevard,74
Shahrake Qods,69
Niavaran,68
Pasdaran,67
Pirouzi,63
Salsabil,60
Shahrake Gharb,59
Farmanieh,57
Heravi,46
Ekhtiarieh,42
Islamshahr,39
Yousef Abad,38
Feiz Garden,38
Northern Janatabad,33
Qasr-od-Dasht,28
North Program Organization,27
Zaferanieh,27
Beryanak,25
Narmak,25
Aqdasieh,25
Pakdasht,25
Azarbaijan,24
Tenant,23
Damavand,23
Southern Program Organization,23
Abazar,23
Si Metri Ji,23
Velenjak,22
Marzdaran,22
Karoon,20
Jordan,18
Elahieh,17
Northern Chitgar,16
Kahrizak,16
Golestan,16
Mirdamad,15
Northren Jamalzadeh,14
Kamranieh,14
Amirabad,14
Dorous,13
Hashemi,13
Shahryar,13
Sattarkhan,12
Amirieh,12
Qazvin Imamzadeh Hassan,11
Qalandari,11
Rudhen,11
West Pars,11
Railway,11
Komeil,11
Air force,10
Zafar,10
Gholhak,10
Ozgol,10
Gisha,9
Dezashib,9
Ray,9
Dehkade Olampic,9
Araj,9
Fallah,9
Kook,9
East Pars,8
Tehransar,8
Parastar,8
Mehran,8
Baghestan,8
Shams Abad,8
Valiasr,7
Tajrish,7
Razi,7
Ekbatan,7
Hor Square,6
Tarasht,6
Afsarieh,6
Sadeghieh,6
Absard,6
Ajudaniye,5
Hakimiyeh,5
Shahedshahr,5
Shahrake Quds,5
Azadshahr,5
ShahrAra,5
Qarchak,5
Southern Chitgar,5
Keshavarz Boulevard,4
Amir Bahador,4
Northern Suhrawardi,4
Tehran Now,4
Water Organization,4
Zargandeh,4
Koohsar,4
Republic,4
Mahallati,4
Lavasan,4
Heshmatieh,4
Eskandari,4
Seyed Khandan,3
Khavaran,3
Waterfall,3
Darabad,3
Abuzar,3
Shahrakeh Naft,3
Atabak,3
Karimkhan,3
Fatemi,3
Yaftabad,3
Mahmoudieh,3
Daryan No,3
Elm-o-Sanat,3
Ghoba,2
Shoosh,2
Sabalan,2
Ahang,2
Shahrake Shahid Bagheri,2
Pishva,2
Chidz,2
Nasim Shahr,2
Moniriyeh,2
Vanak,2
Dolatabad,2
Abbasabad,2
Taslihat,2
Argentina,2
Robat Karim,2
Southern Suhrawardi,2
Lavizan,2
Nezamabad,2
Malard,2
Vahidieh,2
Majidieh,2
Nawab,2
Hekmat,2
Haft Tir,2
Garden of Saba,2
Shahrake Azadi,2
Vahidiyeh,2
Darakeh,1
Gandhi,1
Javadiyeh,1
Naziabad,1
Shadabad,1
Hassan Abad,1
Safadasht,1
Khademabad Garden,1
Firoozkooh,1
Alborz Complex,1
Aliabad South,1
Boloorsazi,1
Mehrabad River River,1
Varamin - Beheshti,1
Thirteen November,1
Telecommunication,1
Mirza Shirazi,1
Firoozkooh Kuhsar,1
Ghiyamdasht,1
Ray - Pilgosh,1
Zibadasht,1
Sohanak,1
Villa,1
Chardivari,1
Azari,1
Shahrake Apadana,1
Bahar,1
Darband,1
Eram,1
Baqershahr,1
SabaShahr,1
Shahrake Madaen,1
Chahardangeh,1
Salehabad,1
Enghelab,1
Islamshahr Elahieh,1
Ray - Montazeri,1
Chardangeh,1
Mehrabad,1
Pakdasht KhatunAbad,1
Kazemabad,1
Yakhchiabad,1
